Station,Longitude,Latitude,Depth,Weight,Lycopodium,Lyc_tab,Non-quat dinos,Iacu,Ipal,Ipar,Ipat,Isph,Istr,Ivel,Btep,Lmac,Lspp,Char,Nlab,Ocen,Ojan,Pret,Smir,Sram,Sspp,Pdal,Imin,Bspp,Squa,Snep,Gymn,Echi,Dcha,Numb,Sant,Ssp1,Cmer,Pgla,tot_gg
MD12-3401,80.39,-44.68,3445,12.1704,162,19855,9,1,3,1,2,,1,,,,,,1,,,1,,,,,,16,,,,,2,,8,,4,,403
MD07-3100,-74.96,-41.60,1609,9.4868,63,19855,16,1,1,2,2,1,,,,2,,,18,9,,,2,3,,,58,81,,,,,1,4,2,,13,,6644
MD07-3098,-75.03,-40.93,3055,6.5644,85,19855,9,1,1,4,3,1,,,1,2,,,19,11,,3,1,,,,28,122,,,,,,,3,,9,,7437
MD04-2714,49.82,-43.40,2300,9.3351,976,19855,3,11,10,4,2,,,2,,,,,66,,,13,3,,,,,22,,,,,,,5,,1,,303
ANT 30_DA-02,-49.58,-60.84,2592,6.9865,131,19855,6,,,,,,,,,,,,,,,,,,,,210,7,,,,,,,3,,,,4773
ANT 30_D2-10,-52.27,-62.96,974,9.0949,612,19855,21,,,,,,,,,,,,1,3,,,,,,,188,6,,,,,,,4,,,,721
ANT 30_D2-05,-54.15,-61.59,450,10.1729,1723,19855,12,,1,,,,,,,,,,1,,,,,,,,157,26,,1,,,,4,5,5,,3,227
ANT 30_D1-07,-56.58,-62.24,3548,7.0876,497,19855,9,,3,,,,,,,,,,,,,1,,,,,165,20,,,,,,,,9,6,,1150
ANT 30_IS-01,76.38,-69.26,260,8.1879,339,19855,5,,,,,,,,,,,,,,,1,,,,,39,40,,,3,,,22,37,2,20,433,1173
ANT 29_PA-05,76.18,-67.24,353,7.6718,510,19855,4,,9,,,,,,,,,,,,,,,,,,9,14,,,,,,,35,8,2,10,391
ANT 29_PA-01,71.28,-67.21,487,6.2576,984,19855,12,,,,,,,,,,,,,,,,,,,,4,25,,,5,,,1,37,12,3,,281
ANT 29_P7-16,76.20,-68.38,558,5.3466,765,19855,2,,,,,,,,,,,,,1,,,,,,,5,37,,,,,,3,58,21,5,,631
ANT 29_P7-14,77.18,-67.44,311,7.8516,2335,19855,1,,2,,,,,1,,,,,,,,,,,,,14,27,,,,,,,52,36,,7,143
ANT 29_P3-03,67.81,-66.00,2689,7.5857,3400,19855,12,,26,,,,,,,,,,,6,,1,,,,,,2,,,,,,,15,,,,38
U1361,143.89,-64.41,3454,10.577,642,9666,4,,12,,,,,,,,,,,2,,2,,,,,,2,,3,1,,,,15,,,,53
U1357B,140.43,-66.41,1017,1.1292,430,9666,0,,,,,,,,,,,,,,,,,,,,1,16,,,14,,,,35,,12,13,1553
SABRINA_PC7,120.05,-65.13,2611,13.3314,1786,19855,80,3,59,1,,,,1,,6,,,5,17,,8,10,6,,,10,23,,,,,,1,44,4,2,,167
SABRINA_PC6,120.14,-64.82,3012,14.9414,1657,19855,38,3,26,1,1,,,,,,,,,10,,5,,,6,,3,16,1,,,,,,7,,,,63
SABRINA_KC3,115.04,-64.46,1862,19.4438,2251,19855,9,,15,,,,,,,1,,,,1,,1,,,,,,13,,,,,,1,76,9,2,,54
SABRINA_KC2,115.62,-64.47,2161,8.0529,1054,19855,20,,10,,,,,,,4,,,1,4,,4,,,,,5,17,,,,,,,151,1,3,,468
SABRINA_KC14,116.64,-64.54,2100,16.4558,758,19855,42,2,15,,,,,,,,,,3,18,,3,3,,,,5,44,1,,,,,,105,,2,1,320
SABRINA_KC11,120.05,-65.13,2611,17.0534,910,19855,38,,12,,,,,,,5,,,,10,,8,4,,,,5,15,1,,,,,,53,8,1,2,156
NBP1402_SMG51,120.46,-66.32,450,17.9054,269,19855,5,,,,,,,,,,,,,,,,,,,,,112,,,1,,,,88,13,9,92,919
NBP1402_MC_45,120.50,-66.18,537,10.3679,129,19855,5,,1,,,,,,,,,,1,1,,1,,,,,3,69,,,,,,,26,27,,1148,1915
NBP1402_KC9,119.86,-66.36,683,7.2663,336,19855,2,,,,,,,,,,,,,1,,,,,,,,41,,,,,,,19,6,4,,577
NBP1402_KC42,120.33,-66.48,610,7.7055,637,19855,8,,,,,,,,,,,,,2,,,,,,,2,53,,,,,,3,29,19,4,,453
NBP1402_KC27B,120.50,-66.18,547,4.2106,1026,19855,6,,,,,,,,,,,,,2,,1,,,,,16,81,,,,,,7,59,25,3,,892
NBP1402_KC14,118.24,-66.87,643,15.842,655,19855,4,,1,,,,,,,,,,,,,,,,,,7,58,,,,,,12,38,33,2,4,289
NBP1402_KC13,118.24,-66.87,646,8.0901,731,19855,14,,,,,,,,,,,,,1,,,,,,,13,86,,,,,,8,55,25,5,,648
NBP1402_JKC53,120.50,-66.18,545,16.9431,357,19855,3,,,,,,,,,,,,,,,,,,,,15,90,,,5,,,7,78,4,3,,663
NBP1402_27A,120.50,-66.18,544,2.8056,650,19855,11,,3,,,,,,,,,,2,,,,,,,2,21,69,,,,,,5,61,5,33,,2188
BC22,169.08,-76.69,800,3.6934,391,18583,0,,2,,,,,,,,,,,,,,,,,,,5,,,2,,,15,2,71,2,2,1274
ANTA02_AV43,166.08,-74.14,,1.2758,343,9666,,,2,,,,,,,,,,,,,,,,,,13,45,,,,,,13,1,9,3,300,1900
ANT 35_R1-03,168.36,-75.00,349,6.1471,1680,19855,4,,3,,,,,,,,,,,1,,,,,,,1,10,,,,,,27,15,144,,3256,386
ANT 33_I5,165.05,-75.09,1174,6.3146,696,19855,7,,,,,,,,,,,,,,,,,,,,6,6,,,1,,,22,1,13,3,301,235
ANT 33_A2-05,172.44,-72.61,546,11.625,1432,19855,66,,,,,,,,,,,,,,,,,,,,6,5,,,,,,8,7,27,,2212,63
ANT 33_A2-03,170.98,-73.70,588,7.009,2635,19855,3,,,,,,,,,,,,,,,,,,,,1,3,,,,,,33,5,24,,148,71
ANT 33_A1-20,165.89,-77.67,590,14.0251,1801,19855,2,,,,,,,,,,,,,,,,,,,,1,4,,,,,,43,8,104,2,1373,127
