Station,Longitude,Latitude,Contributors,Dino_tot,Aand,Atax,Btep,Bspo,Crug,Iacu,Icas,Ipal,Ipar,Ipat,Isph,Istr,Ipli,Ivel,Ijap,Ivar,Lmac,Mcho,Nlab,Nrig,Oagu,Ocen,Oisr,Ojan,Olon,Ogig,Pzoh,Pret,Smem,Scru,Sdel,Selo,Sram,Sbel,Sben,Sbul,Slaz,Smir,Sgra,Spac,Sspp,Tpel,Pdal,Stri,Imin,Imic,Ibre,Ekar,Bspp,Dubr,Peri,Lspp,Snep,Xxan,Squa,Pnud,Tapp,Tvar,Vcal,Vspi,Pame,Qcon,Psch,Parc,Pkof,Phar,Gymn,Eacu,Egra,Edel,Etra,Ezon,Espp,Sste,Sbif,Cysa,Tvan,Dcha,Bbal,Ppsi,Sant,Ppon,Srob,Pmon,Cmer,Ebis,Oaca,Srei,Tpal,Pgla,Pmin
E003,-69.53,48.17,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,,,,1.68,0.56,,,,,,,,,,32.96,,8.94,,,,46.93,,,,,,5.03,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E004,-69.58,48.20,de vernal et al DB1826,100.00,,,1.09,,,,,,,,,,,,,,,,2.17,,,2.17,,,,,,,,,,1.09,,,,,,,,,,,20.65,,7.61,,,,58.70,,,,,,4.35,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E005,-69.27,48.23,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,0.62,,,5.56,,,,,,,,,,0.62,,,,,,,,,1.85,,13.58,,12.96,,,,54.32,,,,,,4.94,,,,,,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E006,-69.35,48.28,de vernal et al DB1826,100.00,,0.71,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,27.14,,12.14,,,,48.57,,,,,,8.57,,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E007,-69.44,48.28,de vernal et al DB1826,100.00,,0.49,,,,,,,,,,,,,,,,,,,,2.93,,,,,,,,,,0.49,,,,,,,,,,,29.27,,7.32,0.49,,,54.15,,,,,,1.46,,,,,,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E008,-69.33,48.32,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,5.20,,,,,,,,,,0.58,,,,,,,,,,,11.56,,9.25,,,,62.43,,,,,,10.40,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E010,-69.04,48.48,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,2.13,,,3.19,,,,,,,,,,2.13,1.06,,,,,,,,2.13,,13.83,1.06,7.45,,,,61.70,,,,,,4.26,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E012,-68.46,48.61,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,0.58,,,6.43,,,,,,,,,,1.75,0.58,,,,,,,,0.58,,19.88,,2.34,,,,57.89,,,,,,2.34,,,,,,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E013,-68.57,48.75,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,2.33,,,2.00,,,,,,,,,,1.33,,,,,,,,,,,35.00,,5.67,,,,38.67,,,,,,7.33,,,,,,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E014,-68.67,48.86,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,0.71,,,0.71,,,,,,,,,,1.77,0.71,,,,,,,,,,46.45,,3.55,,,,27.66,,,,,,18.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E015,-68.08,48.73,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,0.40,,,,,,,,,,,27.27,,7.51,,,,53.36,,,,,,7.91,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E016,-68.24,48.92,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,3.28,,,0.98,,,,,,,,,,1.64,1.31,,,,,,,,,,33.77,,8.20,,,,42.30,,,,,,4.59,,,,,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E017,-68.36,49.02,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,0.40,,,2.00,,,,,,,,,,1.20,1.20,,,,,,,,0.40,,18.00,,9.20,,,,42.40,,,,,,19.60,,,,,,5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E018,-67.52,48.89,de vernal et al DB1826,100.00,,1.26,,,,,,,,,,,,,,,,,,,,4.40,,,,,,,,,,1.57,,,,,,,,,,,30.50,,8.18,,,,39.62,,,,,,7.55,,,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E019,-67.70,49.06,de vernal et al DB1826,100.00,,0.32,,,,,,,,,,,,,,,,,4.21,,,2.91,,,,,,,,,,2.91,1.94,,,,,,,,0.32,,24.92,,4.53,,,,45.95,,,,,,7.44,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
